variable name;data type;register;documented name;description;value;unit;note;;;;;;;;;;
;;0;System Status;System run state;{{system_status_codes}};1;          PV     an     Grid Combine Discharge2: Discharge;3: Fault;4: Flash;5: PV charge;6: AC charge;7: Combine charge;8:    Combine    charge and Bypass;9:    PV    charge    and Bypass;10:    AC    charge    and Bypass;  11: Bypass;12:    PV    charge    andDischarge
PV1 Voltage;;1;Vpv1;PV1 voltage;;0.1V;;;;;;;;;;;
PV2 Voltage;;2;Vpv2;PV2 voltage;;0.1V;;;;;;;;;;;
PV1 Watts;;3;Ppv1 H;PV1 charge power (high);;0.1W;;;;;;;;;;;
;;4;Ppv1 L;PV1 charge power (low);;0.1W;;;;;;;;;;;
PV2 Watts;;5;Ppv2 H;PV2 charge power (high);;0.1W;;;;;;;;;;;
;;6;Ppv2 L;PV2 charge power (low);;0.1W;;;;;;;;;;;
Buck1 Current;;7;Buck1Curr;Buck1 current;;0.1A;;;;;;;;;;;
Buck2 Current;;8;Buck2Curr;Buck2 current;;0.1A;;;;;;;;;;;
Output Wattage;;9;OP_Watt H;Output active power (high);;0.1W;;;;;;;;;;;
;;10;OP_Watt L;Output active power (low);;0.1W;;;;;;;;;;;
Output VA;;11;OP_VA H;Output apparent power (high);;0.1VA;;;;;;;;;;;
;;12;OP_VA L;Output apparent power (low);;0.1VA;;;;;;;;;;;
AC Charge Watts;;13;ACChr_Watt H;AC charge watt (high);;0.1W;;;;;;;;;;;
;;14;ACChr_Watt L;AC charge watt (low);;0.1W;;;;;;;;;;;
AC Charge VA;;15;ACChr_VA H;AC   charge    apparent   power (high);;0.1VA;;;;;;;;;;;
;;16;ACChr_VA L;AC   charge    apparent   power (low);;0.1VA;;;;;;;;;;;
Battery Voltage;;17;Bat Volt;Battery volt (M3);;0.01V;;;;;;;;;;;
Battery SOC;;18;BatterySOC;Battery SOC;0~100;1.00%;;;;;;;;;;;
Bus Voltage;;19;Bus Volt;Bus Voltage;;0.1V;;;;;;;;;;;
Grid Voltage;;20;Grid Volt;AC input Volt;;0.1V;;;;;;;;;;;
Grid Hz;;21;Line Freq;AC input frequency;;0.01Hz;;;;;;;;;;;
Output Voltage;16bit;22.b0;OutputVolt;AC output Volt;;0.1V;;;;;;;;;;;
Output Hz;;23;OutputFreq;AC output frequency;;0.01Hz;;;;;;;;;;;
Output DCV;;24;Ouput DCV;Ouput DC Volt;;0.1V;;;;;;;;;;;
;;25;InvTemp;Inv Temperature;;0.1C;;;;;;;;;;;
;;26;DcDc Temp;DC-DC Temperature;;0.1C;;;;;;;;;;;
Load Percentage;;27;LoadPercent;Load Percent;0~1000;0.10%;;;;;;;;;;;
Battery Port Voltage;;28;Bat_s_Volt;Battery-port volt (DSP);;0.01V;;;;;;;;;;;
Battery Bus Voltage;;29;Bat_Volt_DSP;Battery-bus volt (DSP);;0.01V;;;;;;;;;;;
;;30;Time total H;Work time total (high);;0.5S;;;;;;;;;;;
;;31;Time total L;Work time total (low);;0.5S;;;;;;;;;;;
Buck1 Temperature;;32;Buck1_NTC;Buck1 Temperature;;0.1C;;;;;;;;;;;
Buck2 Temperature;;33;Buck2_NTC;Buck2 Temperature;;0.1C;;;;;;;;;;;
Output Current;;34;OP_Curr;Output Current;;0.1A;;;;;;;;;;;
Inverter Current;;35;Inv_Curr;Inv Current;;0.1A;;;;;;;;;;;
AC Input Watts;;36;AC_InWatt H;AC input watt (high);;0.1W;;;;;;;;;;;
;;37;AC_InWatt L;AC input watt (low);;0.1W;;;;;;;;;;;
AC Input VA;;38;AC_InVA H;AC    input    apparent    power (high);;0.1VA;;;;;;;;;;;
;;39;AC_InVA L;AC    input    apparent    power (low);;0.1VA;;;;;;;;;;;
;;40;Fault bit;fault bit;{{fault_bit_codes}};;;;;;;;;;;;
;16bit_flags;41;Warning bit;Warning bit;{{warning_bit_codes}};;;;;;;;;;;;
;16bit_flags;42;Warning bit high;;{{warning_bit_high_codes}};;;;;;;;;;;;
;;43;warning value;warning value;;;;;;;;;;;;;
;;44;DTC;Device Type Code;&*6;;;;;;;;;;;;
;;45;Check Step;Product check step;{{check_step_codes}};;;;;;;;;;;;
;;46;Production Line Mode;Production Line Mode;{{production_line_mode_codes}};;;;;;;;;;;;
;;47;ConstantPowerOKFlag;Constant Power OK Flag;0: Not OK 1: OK;;;;;;;;;;;;
PV1 KWH Today;;48;Epv1_today H;PV Energy today;;;;;;;;;;;;;
;;49;Epv1_today L;PV Energy today;;0.1kWh;;;;;;;;;;;
PV1 KWH Total;;50;Epv1_total H;PV Energy total;;;;;;;;;;;;;
;;51;Epv1_total L;PV Energy total;;0.1kWh;;;;;;;;;;;
PV2 KWH Today;;52;Epv2_today H;PV Energy today;;;;;;;;;;;;;
;;53;Epv2_today L;PV Energy today;;0.1kWh;;;;;;;;;;;
PV2 KWH Total;;54;Epv2_total H;PV Energy total;;;;;;;;;;;;;
;;55;Epv2_total L;PV Energy total;;0.1kWh;;;;;;;;;;;
AC Input KWH Today;;56;Eac_chrToday H;AC charge Energy today;;;;;;;;;;;;;
;;57;Eac_chrToday L;AC charge Energy today;;0.1kWh;;;;;;;;;;;
AC Input KWH Total;;58;Eac_chrTotal H;AC charge Energy total;;;;;;;;;;;;;
;;59;Eac_chrTotal L;AC charge Energy total;;0.1kWh;;;;;;;;;;;
Battery Discharge KWH Today;;60;Ebat_dischrToday H;Bat discharge Energy today;;;;;;;;;;;;;
;;61;Ebat_dischrToday L;Bat discharge Energy today;;0.1kWh;;;;;;;;;;;
Battery Discharge KWH Total;;62;Ebat_dischrTotal H;Bat discharge Energy total;;;;;;;;;;;;;
;;63;Ebat_dischrTotal L;Bat discharge Energy total;;0.1kWh;;;;;;;;;;;
AC Discharge KWH Today;;64;Eac_dischrToday H;AC discharge Energy today;;;;;;;;;;;;;
;;65;Eac_dischrToday L;AC discharge Energy today;;0.1kWh;;;;;;;;;;;
AC Discharge KWH Total;;66;Eac_dischrTotal H;AC discharge Energy total;;;;;;;;;;;;;
;;67;Eac_dischrTotal L;AC discharge Energy total;;0.1kWh;;;;;;;;;;;
AC Charge Current;;68;ACChrCurr;AC Charge Battery Current;;0.1A;;;;;;;;;;;
AC Discharge Watts;;69;AC_DisChrWatt H;AC discharge watt (high);;0.1W;;;;;;;;;;;
;;70;AC_DisChrWatt L;AC discharge watt (low);;0.1W;;;;;;;;;;;
AC Discharge VA;;71;AC_DisChrVA H;AC  discharge  apparent  power (high);;0.1VA;;;;;;;;;;;
;;72;AC_DisChrVA L;AC  discharge  apparent  power (low);;0.1VA;;;;;;;;;;;
Battery Discharge Watts;;73;Bat_DisChrWatt H;Bat discharge watt (high);;0.1W;;;;;;;;;;;
;;74;Bat_DisChrWatt L;Bat discharge watt (low);;0.1W;;;;;;;;;;;
Battery Discharge VA;;75;Bat_DisChrVA H;Bat discharge apparent power (high);;0.1VA;;;;;;;;;;;
;;76;Bat_DisChrVA L;Bat discharge apparent power (low);;0.1VA;;;;;;;;;;;
Battery Input Watts;INT;77;Bat_Watt H;Bat watt (high);(signed int 32) Positive:Battery Discharge Power  Negative:          Battery Charge Power;0.1W;;0.1W;;;;;;;;;
;;78;Bat_Watt L;Bat watt (low);;0.1W;;;;;;;;;;;
;;79;uwSlaveExistCnt ;uwSlaveExistCnt ;;;;;;;;;;;;;
Battery Over Charge Flag;;80;BatOverCharge ;Battery Over Charge Flag ;0:Battery not over charge 1:Battery over charge ;; ;;;;;;;;;;
MPPT Fan Speed Percent;;81;MpptFanSpeed ;Fan speed of MPPT Charger ;0~100 ;1.00%;;;;;;;;;;;
Inverter Fan Speed Percent;;82;InvFanSpeed ;Fan speed of Inverter ;0~100 ;1.00%;;;;;;;;;;;
Total Charge Current;;83;TotalChgCur ;Total Charge current ;;0.1A;;;;;;;;;;;
;;85;Eop_dischrToday H ;Op discharge Enerday today ;;;;;;;;;;;;;
;;86;Eop_dischrToday L ;;;;;;;;;;;;;;
;;87;Eop_dischrTotal H ;Op discharge Enerday total ;;;;;;;;;;;;;
;;88;Eop_dischrTotal L ;;;;;;;;;;;;;;
Parallel Charge Current;;90;ParaChgCurr ;Para system charge current ;;0.1A;;;;;;;;;;;
